"","x","y","land_perc","temp","prec","grad","fore"
"1",-2302033.12519051,3062202.34687399,NA,NA,NA,NA,NA
"2",-2199627.52742533,3062202.34687399,NA,NA,NA,NA,NA
"3",-2097221.92966015,3062202.34687399,0.533839892345641,9.49148251328279,2888.7309330312,55.0180981642201,263.468615653582
"4",-1994816.33189497,3062202.34687399,0.538534642643403,9.97576248552033,1208.43281928047,40.9758746170962,149.666059640003
"5",-1892410.73412979,3062202.34687399,0.909022083777247,7.04874682769022,2318.23176961889,106.590806181488,222.424476313325
"6",-1790005.13636461,3062202.34687399,0.77455606229972,5.85147576801118,781.60819091826,81.9627562025866,108.406155980817
"7",-1687599.53859943,3062202.34687399,0.648095525379288,7.45670363678714,448.409051350311,55.9060089996264,62.2506714806355
"8",-1585193.94083425,3062202.34687399,0.529511222069432,6.53425164839924,800.988968204443,75.4590003610787,107.140027813187
"9",-1482788.34306906,3062202.34687399,0.418719245511257,5.35243573837734,952.242931655187,86.8853823882562,99.2777466160087
"10",-1380382.74530388,3062202.34687399,0.31565525590233,4.04139551791216,924.006479718202,80.9259707846738,86.7472631694431
"11",-1277977.1475387,3062202.34687399,0.220253377137214,3.66315180158867,920.560286416783,25.8821290434273,18.1129302354188
"12",-1175571.54977352,3062202.34687399,0.13243660771211,5.57736373348579,369.109779341422,5.41189959553564,0.195967231290491
"13",-1073165.95200834,3062202.34687399,0.0521480303307946,5.40807744009437,321.736299769984,6.94841079461559,0.477286278499475
"14",-970760.354243158,3062202.34687399,0.00145820479777714,4.7381253124362,326.198908027409,5.76599765700514,0
"15",-868354.756477977,3062202.34687399,NA,NA,NA,NA,NA
"16",-765949.158712796,3062202.34687399,NA,NA,NA,NA,NA
"17",-663543.560947615,3062202.34687399,NA,NA,NA,NA,NA
"18",-561137.963182434,3062202.34687399,NA,NA,NA,NA,NA
"19",-458732.365417253,3062202.34687399,NA,NA,NA,NA,NA
"20",-356326.767652072,3062202.34687399,NA,NA,NA,NA,NA
"21",-253921.16988689,3062202.34687399,NA,NA,NA,NA,NA
"22",-151515.57212171,3062202.34687399,NA,NA,NA,NA,NA
"23",-49109.9743565284,3062202.34687399,NA,NA,NA,NA,NA
"24",53295.6234086528,3062202.34687399,NA,NA,NA,NA,NA
"25",155701.221173834,3062202.34687399,NA,NA,NA,NA,NA
"26",258106.818939015,3062202.34687399,NA,NA,NA,NA,NA
"27",360512.416704196,3062202.34687399,NA,NA,NA,NA,NA
"28",462918.014469377,3062202.34687399,NA,NA,NA,NA,NA
"29",565323.612234558,3062202.34687399,NA,NA,NA,NA,NA
"30",667729.20999974,3062202.34687399,NA,NA,NA,NA,NA
"31",770134.80776492,3062202.34687399,NA,NA,NA,NA,NA
"32",872540.405530102,3062202.34687399,NA,NA,NA,NA,NA
"33",974946.003295283,3062202.34687399,NA,NA,NA,NA,NA
"34",1077351.60106046,3062202.34687399,NA,NA,NA,NA,NA
"35",1179757.19882564,3062202.34687399,NA,NA,NA,NA,NA
"36",1282162.79659083,3062202.34687399,NA,NA,NA,NA,NA
"37",1384568.39435601,3062202.34687399,NA,NA,NA,NA,NA
"38",1486973.99212119,3062202.34687399,NA,NA,NA,NA,NA
"39",1589379.58988637,3062202.34687399,NA,NA,NA,NA,NA
"40",1691785.18765155,3062202.34687399,NA,NA,NA,NA,NA
"41",1794190.78541673,3062202.34687399,NA,NA,NA,NA,NA
"42",1896596.38318191,3062202.34687399,NA,NA,NA,NA,NA
"43",1999001.98094709,3062202.34687399,0.0877518183827569,3.24130849427549,1101.45232874398,18.3271294866756,105.506879771063
"44",2101407.57871227,3062202.34687399,0.154224705181256,3.8872655466428,1090.59650905174,20.1570655168014,80.2604866215779
"45",2203813.17647746,3062202.34687399,NA,NA,NA,NA,NA
"46",-2302033.12519051,2855868.3987598,NA,NA,NA,NA,NA
"47",-2199627.52742533,2855868.3987598,0.0599343668470096,10.1818396393393,2409.34017199825,43.1111109499424,218.703185316985
"48",-2097221.92966015,2855868.3987598,0.880208604446304,10.4854881151485,1987.08965823566,31.5541176996353,143.330783318098
"49",-1994816.33189497,2855868.3987598,1,8.79129515482533,1905.24869094643,54.650992609384,186.158655494753
"50",-1892410.73412979,2855868.3987598,1,7.92674915676116,785.904063819252,45.9732691318598,94.6701281682995
"51",-1790005.13636461,2855868.3987598,1,10.4334409845333,248.176970285213,17.7940636149312,4.10561825627717
"52",-1687599.53859943,2855868.3987598,1,9.60765349846244,400.821084790574,18.1250982883425,11.7365394522279
"53",-1585193.94083425,2855868.3987598,1,8.42630211932139,673.695621010315,30.4957277921593,43.411264106504
"54",-1482788.34306906,2855868.3987598,1,5.84570722727574,1147.07087289803,77.6213929582885,112.190095642207
"55",-1380382.74530388,2855868.3987598,1,5.56254498914018,701.184143150864,58.4937160700305,66.6385009655181
"56",-1277977.1475387,2855868.3987598,1,3.87135797759614,791.683704869567,63.2857848478753,48.3190569956454
"57",-1175571.54977352,2855868.3987598,1,6.40828909069099,354.458099567964,15.7622259892347,5.43122470265811
"58",-1073165.95200834,2855868.3987598,1,6.46061153262992,366.131634679875,13.1220191927125,2.29031074748419
"59",-970760.354243158,2855868.3987598,0.977901849642559,6.38369025313684,375.528270453072,12.1564256689926,1.32243122247592
"60",-868354.756477977,2855868.3987598,0.91399516039074,6.28143466128722,347.71736024044,9.14633502807506,0.0712832815223406
"61",-765949.158712796,2855868.3987598,0.856001692738316,5.53557950813896,351.24116285461,7.19575460077598,0.0755799500235868
"62",-663543.560947615,2855868.3987598,0.805356789353389,5.41202069785922,375.287495100431,7.51884268095799,0.09998742138873
"63",-561137.963182434,2855868.3987598,0.762033926774366,4.83548034650314,408.126795381598,5.86779511918434,0.0868154512123833
"64",-458732.365417253,2855868.3987598,0.725996009658864,4.19961983429184,453.827900170827,4.07098591828147,0.00285369698272573
"65",-356326.767652072,2855868.3987598,0.697219608735356,4.11256359443596,478.311187323081,2.39743950256164,1.1907363563458
"66",-253921.16988689,2855868.3987598,0.675694975412531,3.59813200588004,505.888131359557,2.71356997380535,1.77289379652705
"67",-151515.57212171,2855868.3987598,0.661424087265175,3.68549195499983,539.680423683792,2.13582258533626,1.14224297172836
"68",-49109.9743565284,2855868.3987598,0.654353629795912,3.8686040205456,587.904148928348,0.930174328718337,3.45388054166355
"69",53295.6234086528,2855868.3987598,0.685308433016587,3.51333894388414,630.834300409385,1.29923249166405,18.7505006610103
"70",155701.221173834,2855868.3987598,0.467346280217508,3.5180856129882,674.311823444887,3.47711673534469,44.7592331185059
"71",258106.818939015,2855868.3987598,0.382479511070519,3.13862065657325,705.037889029021,5.97824432213006,57.1932602309709
"72",360512.416704196,2855868.3987598,0.235923976983302,2.87169503420855,730.470638841275,6.65822485098152,59.138702063337
"73",462918.014469377,2855868.3987598,0.220517000832391,2.89198191992234,780.81452361422,9.22262979702852,27.4975080959931
"74",565323.612234558,2855868.3987598,0.337167857958262,3.51411966134485,686.172399435085,10.7234723950276,5.39777424916651
"75",667729.20999974,2855868.3987598,NA,NA,NA,NA,NA
"76",770134.80776492,2855868.3987598,NA,NA,NA,NA,NA
"77",872540.405530102,2855868.3987598,NA,NA,NA,NA,NA
"78",974946.003295283,2855868.3987598,NA,NA,NA,NA,NA
"79",1077351.60106046,2855868.3987598,NA,NA,NA,NA,NA
"80",1179757.19882564,2855868.3987598,NA,NA,NA,NA,NA
"81",1282162.79659083,2855868.3987598,NA,NA,NA,NA,NA
"82",1384568.39435601,2855868.3987598,NA,NA,NA,NA,NA
"83",1486973.99212119,2855868.3987598,NA,NA,NA,NA,NA
"84",1589379.58988637,2855868.3987598,NA,NA,NA,NA,NA
"85",1691785.18765155,2855868.3987598,NA,NA,NA,NA,NA
"86",1794190.78541673,2855868.3987598,NA,NA,NA,NA,NA
"87",1896596.38318191,2855868.3987598,NA,NA,NA,NA,NA
"88",1999001.98094709,2855868.3987598,0.787307983311691,3.74642043829646,1139.90478094533,16.1943824305804,87.5023045834396
"89",2101407.57871227,2855868.3987598,0.965911654494692,5.00081710748444,1152.44065405335,14.2363532819121,90.22675484428
"90",2203813.17647746,2855868.3987598,0.335496098658264,6.0918958094018,1232.41385943408,10.9272563648044,76.6305378706147
"91",-2302033.12519051,2649534.45064562,0.0474522426050875,11.2843904161724,1811.82122815411,31.0471745472121,170.532770162941
"92",-2199627.52742533,2649534.45064562,0.715135785293352,11.3801253632285,1746.15085292284,42.432858174825,228.896644341126
"93",-2097221.92966015,2649534.45064562,1,9.80626173209328,1635.94570150338,49.7960553965126,216.606268832095
"94",-1994816.33189497,2649534.45064562,1,7.66300387659463,906.905310164997,33.747168033384,126.924429378331
"95",-1892410.73412979,2649534.45064562,1,8.51381455983662,379.524445384613,34.0475377781152,31.1587475214414
"96",-1790005.13636461,2649534.45064562,1,7.77443488073477,512.253455668938,35.1472311094819,64.6748705218363
"97",-1687599.53859943,2649534.45064562,1,7.39123312971618,667.603873408468,48.0589071450438,60.9022684209786
"98",-1585193.94083425,2649534.45064562,1,6.63443041104879,747.230808241378,64.5644041095361,57.2001696818872
"99",-1482788.34306906,2649534.45064562,1,4.35917039555312,940.784777239943,87.3176506378278,100.111412558977
"100",-1380382.74530388,2649534.45064562,1,3.73534606269816,690.902869010017,63.4726592196223,61.3762339047321
"101",-1277977.1475387,2649534.45064562,1,4.13427755052824,484.417594815199,43.5730707788687,35.3569851823527
"102",-1175571.54977352,2649534.45064562,1,4.71967380039098,544.959778439621,43.6355162291405,30.9103847053553
"103",-1073165.95200834,2649534.45064562,1,5.34043364768732,539.817298035232,34.5873657676368,20.0863126272433
"104",-970760.354243158,2649534.45064562,1,7.56440786685305,402.030031563413,13.2412703572224,3.0495646723357
"105",-868354.756477977,2649534.45064562,1,7.87461252529155,378.558521967921,10.427439285147,0.986882309848082
"106",-765949.158712796,2649534.45064562,1,7.34543834911345,366.676342189705,9.40443193430142,1.00050040359666
"107",-663543.560947615,2649534.45064562,1,6.77743620683435,388.428867546039,8.79548035863768,0.502886494969123
"108",-561137.963182434,2649534.45064562,1,6.14430985071667,416.797694767005,7.84229971958039,0.0698065442059186
"109",-458732.365417253,2649534.45064562,1,5.8643171444519,454.950779798218,6.7058309905466,0.0137010885208829
"110",-356326.767652072,2649534.45064562,1,5.59299174436708,480.267186809664,5.92614648559838,0.126530881866207
"111",-253921.16988689,2649534.45064562,1,4.97364538568692,522.695177865978,3.4546042695786,0.0195807124981595
"112",-151515.57212171,2649534.45064562,1,5.09732212765442,567.47288023465,2.28058339483144,0.19886231034016
"113",-49109.9743565284,2649534.45064562,1,5.22408040927528,624.137816544902,1.34275213860429,0.981749376346337
"114",53295.6234086528,2649534.45064562,1,4.63767514593907,674.883956541246,3.50941597526384,23.749713841512
"115",155701.221173834,2649534.45064562,1,4.65401325657279,718.31940725443,3.19261840289785,46.0262683581601
"116",258106.818939015,2649534.45064562,1,4.2923184996471,768.204306364703,3.73856937502349,55.7845943416206
"117",360512.416704196,2649534.45064562,1,4.5380203645399,820.302946856414,6.51903770613437,53.550676656371
"118",462918.014469377,2649534.45064562,1,4.67825684117053,858.045088850265,4.77900378678955,47.1418089435066
"119",565323.612234558,2649534.45064562,1,4.73492020706607,806.640530535161,7.04175992613013,73.6173237201384
"120",667729.20999974,2649534.45064562,1,5.27423214123397,808.307395320132,4.83596588597674,44.847923927112
"121",770134.80776492,2649534.45064562,0.941140397768397,5.55220759861605,857.171868390018,4.35895826834966,32.9253946675527
"122",872540.405530102,2649534.45064562,0.649970051028984,5.64083628141497,854.66436054981,7.82192605039592,44.2360146963767
"123",974946.003295283,2649534.45064562,0.271478727599632,6.0380058563132,820.306499783676,8.99716987340547,12.7255339620371
"124",1077351.60106046,2649534.45064562,NA,NA,NA,NA,NA
"125",1179757.19882564,2649534.45064562,NA,NA,NA,NA,NA
"126",1282162.79659083,2649534.45064562,NA,NA,NA,NA,NA
"127",1384568.39435601,2649534.45064562,NA,NA,NA,NA,NA
"128",1486973.99212119,2649534.45064562,NA,NA,NA,NA,NA
"129",1589379.58988637,2649534.45064562,0.116390386576179,7.19315079615373,1013.71236588521,8.65054722945288,42.1971442926475
"130",1691785.18765155,2649534.45064562,0.452793487484756,5.9537907734261,1107.70279334002,11.7624722373501,90.469766937679
"131",1794190.78541673,2649534.45064562,0.573693027524946,6.52513343286023,1125.00514636108,20.4643024273539,86.8392677265463
"132",1896596.38318191,2649534.45064562,0.761210714843434,5.01714099021123,1236.16118878502,32.3411470121396,118.859589187091
"133",1999001.98094709,2649534.45064562,0.983449436524102,5.9415398755642,1248.80970791653,26.9388757399607,104.12735357176
"134",2101407.57871227,2649534.45064562,0.553290035094213,7.08461155651018,1205.00215277769,10.6332200189297,86.4803501760958
"135",2203813.17647746,2649534.45064562,0.140791668787957,6.9529474248861,1276.89063935475,10.0772261341175,81.1900614859904
"136",-2302033.12519051,2443200.50253143,0.419166538821204,11.829614955009,2459.31505127732,73.1039909517939,238.428934503741
"137",-2199627.52742533,2443200.50253143,1,11.0347217208625,1192.07323471135,71.1137821699385,184.442600430812
"138",-2097221.92966015,2443200.50253143,1,7.63268701561149,785.318463659601,33.1709224468222,127.869510042455
"139",-1994816.33189497,2443200.50253143,1,7.03290997086132,446.322500950675,20.4111114829851,41.2820763750372
"140",-1892410.73412979,2443200.50253143,1,7.60765570564506,285.111139525902,15.4899075874065,4.67875249481554
"141",-1790005.13636461,2443200.50253143,1,8.41312190722405,320.121245499541,22.6866065156964,6.95496736797958
"142",-1687599.53859943,2443200.50253143,1,9.14439869776167,335.475700765389,21.7722673495633,7.97042932301595
"143",-1585193.94083425,2443200.50253143,1,8.66027625613297,493.615822543445,34.9902313153015,21.2500885898959
"144",-1482788.34306906,2443200.50253143,1,4.80977245020423,596.485349824665,54.1867812922977,29.40255588459
"145",-1380382.74530388,2443200.50253143,1,4.52207585155679,386.297711809697,37.8169495963221,8.79667959184922
"146",-1277977.1475387,2443200.50253143,1,4.81684700397172,447.310034542452,23.0724511991261,10.5121252308406
"147",-1175571.54977352,2443200.50253143,1,2.02068153210993,820.639473435534,45.2120738081319,51.0044270171228
"148",-1073165.95200834,2443200.50253143,1,2.11427977681595,651.117843244315,65.994413325424,36.823506322463
"149",-970760.354243158,2443200.50253143,1,7.0050306823697,312.072711211456,23.0486956484662,3.31664699016168
"150",-868354.756477977,2443200.50253143,1,6.09985424744556,467.792111379071,25.9953688417846,12.047699032326
"151",-765949.158712796,2443200.50253143,1,7.68618320999056,384.125948418502,12.1276117586346,1.71206701124463
"152",-663543.560947615,2443200.50253143,1,6.97985628823529,471.421961685031,12.6724326134583,10.6875253319696
"153",-561137.963182434,2443200.50253143,1,7.51927483024834,458.784287211617,9.23796719920576,4.89661132045049
"154",-458732.365417253,2443200.50253143,1,7.80325675351902,468.273447634372,7.40277983551272,0.00655709277331991
"155",-356326.767652072,2443200.50253143,1,7.5688873467488,483.877169120452,6.85623789260878,0.0172566173635231
"156",-253921.16988689,2443200.50253143,1,6.81002069572031,546.497809801571,3.14946772124054,0.0159105448303448
"157",-151515.57212171,2443200.50253143,1,6.58409208878073,599.449670396011,2.05451941772441,0.0567632383069719
"158",-49109.9743565284,2443200.50253143,1,6.34125421397246,661.220967675752,3.17728965832003,0.124520671666858
"159",53295.6234086528,2443200.50253143,1,6.59773390224291,719.951394877061,2.39171555623609,1.15845168035207
"160",155701.221173834,2443200.50253143,1,6.77573715498936,790.772242067509,2.9461766015663,4.64741748242544
"161",258106.818939015,2443200.50253143,1,6.77629107362577,849.298649971123,5.77250786626887,15.1684025881077
"162",360512.416704196,2443200.50253143,1,6.41514929191102,870.450631995883,8.44012021335165,44.4640910649065
"163",462918.014469377,2443200.50253143,1,5.95853766231807,853.241631179167,3.74691938862848,51.6952053127134
"164",565323.612234558,2443200.50253143,1,6.29080826152294,833.894021018996,4.11575979863773,50.9432805297637
"165",667729.20999974,2443200.50253143,1,6.82571949245889,806.168676573597,2.87356329698118,17.303524159114
"166",770134.80776492,2443200.50253143,1,7.60899501826478,884.031226968033,5.85084892976207,27.0639247418028
"167",872540.405530102,2443200.50253143,1,6.82066691652878,865.332599932893,6.09764389516371,62.4505791630731
"168",974946.003295283,2443200.50253143,1,7.28118226358045,802.824246020536,3.05636210602415,38.0812811530239
"169",1077351.60106046,2443200.50253143,0.582393660362389,8.03072181021811,825.263283700325,2.26494100059116,2.44597816822868
"170",1179757.19882564,2443200.50253143,NA,NA,NA,NA,NA
"171",1282162.79659083,2443200.50253143,NA,NA,NA,NA,NA
"172",1384568.39435601,2443200.50253143,0.285395485722963,9.33712789537659,914.440994916157,5.01182889469517,7.65962547832111
"173",1486973.99212119,2443200.50253143,0.483940027159548,9.13216128929163,907.133855304655,5.27935854517261,9.94932931098443
"174",1589379.58988637,2443200.50253143,0.936720416100143,7.81438544920662,1144.52715168674,9.0113245897167,47.4316120541774
"175",1691785.18765155,2443200.50253143,1,6.25010987612927,1245.33167258582,22.4892046668229,87.0992280172526
"176",1794190.78541673,2443200.50253143,1,7.5028225178423,1171.26655452435,28.4703199844801,91.6519045836455
"177",1896596.38318191,2443200.50253143,1,7.54691743922261,1252.46305619696,25.6410480199306,120.010111642188
"178",1999001.98094709,2443200.50253143,0.855386942417759,9.33470862109155,1231.39255394806,9.74559649570452,68.5501240088117
"179",2101407.57871227,2443200.50253143,0.0999178194123296,10.5608354164187,1224.70715934473,4.40870068561555,40.4960044987057
"180",2203813.17647746,2443200.50253143,NA,NA,NA,NA,NA
"181",-2302033.12519051,2236866.55441725,0.850398377003369,12.4392015017287,1547.96056522673,63.0531137950076,181.213366083184
"182",-2199627.52742533,2236866.55441725,1,14.0940649305655,1072.59186084223,48.1896661771767,96.3238419847861
"183",-2097221.92966015,2236866.55441725,1,9.47646779623291,1024.01148241207,40.2920243831667,143.534652635186
"184",-1994816.33189497,2236866.55441725,1,8.59517025622827,368.044885747641,27.3399110667765,16.2169357359962
"185",-1892410.73412979,2236866.55441725,1,9.25735130405277,259.943927546024,27.7146466506848,0.440248644522329
"186",-1790005.13636461,2236866.55441725,1,9.34206334393027,306.132356567235,25.9225882182611,0.656484645984098
"187",-1687599.53859943,2236866.55441725,1,7.83730359625577,326.991225131248,21.206679930222,0.17511433681101
"188",-1585193.94083425,2236866.55441725,1,6.82522609187771,374.438543703653,23.9629222177848,0.838330022176256
"189",-1482788.34306906,2236866.55441725,1,8.24337918961764,320.712433911697,21.2683572717299,1.17715576915988
"190",-1380382.74530388,2236866.55441725,1,8.74820800413019,350.576955823276,18.8915531866006,1.28237191009724
"191",-1277977.1475387,2236866.55441725,1,5.80032085632064,573.597666834184,36.7230209823868,13.7449309230292
"192",-1175571.54977352,2236866.55441725,1,3.37752993331865,450.980194720404,28.5361960259529,17.8262840239862
"193",-1073165.95200834,2236866.55441725,1,3.68313497023097,371.77610983144,26.3188285056441,12.0303368930195
"194",-970760.354243158,2236866.55441725,1,6.36567428132759,263.432720354547,12.7415974593128,0.260766187353251
"195",-868354.756477977,2236866.55441725,1,6.40491307299326,338.431755879618,16.2187425970201,1.1346792297806
"196",-765949.158712796,2236866.55441725,1,7.0849253851316,373.159913049785,14.1132651241801,3.54098187758722
"197",-663543.560947615,2236866.55441725,1,8.17623246970224,400.120574742885,9.64363176585311,2.36272236417825
"198",-561137.963182434,2236866.55441725,1,8.69202061955018,471.807541198261,8.53827224198831,3.36475692129048
"199",-458732.365417253,2236866.55441725,1,8.7673394502385,529.991427268957,7.52044411259341,0.160114828324158
"200",-356326.767652072,2236866.55441725,1,9.00391276225442,571.408132331965,6.38562446553574,0.783986224344194
"201",-253921.16988689,2236866.55441725,1,8.81480094806018,628.104562666957,5.80855701053354,1.34940573605532
"202",-151515.57212171,2236866.55441725,1,8.77657924328451,674.473086412211,4.16900062812219,1.64795651525592
"203",-49109.9743565284,2236866.55441725,1,8.17244223821178,730.372851711413,4.57783344948283,1.36453808384216
"204",53295.6234086528,2236866.55441725,1,7.86072069444101,789.245705279774,3.34164885136568,0.38859595721283
